id	token
19411	০০
20331	৭১
34728	২২
34930	১৪
35930	১২
38743	২০
43947	১৯
47714	২১
55727	২৩
56886	১০
57585	০০০
59814	১৮
62505	৩০
64406	১১
73733	১৩
74408	১৭
77441	১৫
78308	১৬
78760	१८
85781	২৪
87834	২৫
88716	۰۰
92624	৫০
93924	২৬
99250	२०
100951	২৯
104365	২৭
109151	২৮
114486	००
122920	৪০
122983	২০০
132722	۱۹
137728	۲۰
138839	৪৩
139493	৩৫
143992	१९
145709	৪৭
152268	৩৭
164070	৩৯
165315	৪৪
173374	৪৯
175246	৩১
175639	৪৮
176250	৩৪
176452	৩৬
182156	৩২
183527	৭০
189949	৫৮
194556	৩৮
195081	০১
196135	৬৮
197192	१०
200085	០០
200170	৪১
201324	۱۳
208476	၀၀
213522	৬৫
213960	৫৫
214147	৬০
220858	۱۲
221619	৯৫
222694	१८६
223403	৩৩
225716	৯০
226128	۱۰
227342	१८४
234151	৪২
234725	৫৪
236770	1
236771	0
236778	2
236800	3
236810	5
236812	4
236819	9
236825	6
236828	8
236832	7
237269	১
237361	২
237425	০
237749	৩
237827	৪
237832	৫
237837	৯
237846	৭
238009	৬
238016	৮
238131	²
238204	₂
238254	１
238456	१
238522	०
238540	２
238647	२
238658	０
238684	₁
238750	¹
238787	۱
238964	۰
238995	３
239146	۲
239158	³
239311	४
239325	६
239341	５
239374	५
239414	३
239416	４
239503	८
239580	९
239689	۳
239784	७
239836	۹
240010	６
240038	۵
240161	۴
240197	８
240290	７
240302	９
240366	①
240394	۸
240535	۶
240567	②
240595	۷
240929	١
240949	၀
241129	③
241303	٢
241388	០
241415	٠
241685	၁
241848	④
241928	૦
242044	٣
242086	૧
242090	٤
242097	២
242172	٩
242205	၂
242300	૨
242323	٥
242526	೦
242553	១
242758	๑
242849	૩
242862	٦
242863	٧
242899	⑤
243123	٨
243319	૫
243397	၅
243471	૭
243489	⑥
243542	၃
243586	૬
243609	⁰
243639	૮
243687	၄
243791	૪
243926	๒
243971	୨
244005	⁹
244044	૯
244099	៥
244139	၇
244326	⑨
244335	៩
244337	၈
244345	୧
244347	⑦
244443	၆
244467	៣
244551	๕
244705	๐
244816	៧
244976	⑧
245019	၉
245051	൦
245224	៨
245327	೧
245469	₀
245532	៤
245771	୦
245800	༤
245811	๖
245823	๓
245832	៦
245835	₃
245930	๔
245959	೯
246117	೨
246285	༠
246320	༡
246490	᱐
246495	❾
246579	₄
246784	᱒
246869	༣
246878	୩
246976	୮
246983	⁴
247101	೫
247147	᱑
247214	⁷
247233	༢
247276	๙
247353	೩
247462	༥
247822	൧
247840	୪
247841	๘
247855	๗
247909	୫
247918	⁵
247964	༦
248101	᱘
248118	⁶
248283	೪
248429	୭
248460	୯
248691	❶
248740	᱕
248829	໑
248866	⑴
248955	₅
248994	༩
249046	⑵
249058	໕
249065	፩
249098	൮
249132	❷
249165	፫
249412	༨
249516	୬
249518	೬
249528	༧
249593	௭
249594	❸
249751	᱓
249780	᱔
249892	⁸
249999	⑶
250047	൨
250048	൬
250122	൩
250272	₆
250302	൭
250312	𝟏
250320	❽
250341	൪
250729	𝟭
250755	❹
250852	੧
250857	൯
250937	੭
250973	൫
251124	੨
251164	೭
251299	೮
251320	⑷
251455	੫
251460	⒈
251492	௫
251661	𝟬
251700	௦
252024	𝟮
252053	𝟎
252327	➊
252371	𝟐
252381	➋
252497	⒉
252557	❺
252573	𝟰
252601	੩
252752	᱖
252828	᱗
253304	❻
253417	⑸
253482	𝟙
253654	⓵
253655	⓶
253859	⓪
253881	➌
254091	᧐
254297	⒋
254618	⓷
254654	𝟯
254762	➁
254847	੦
254848	౪
254923	❼
254932	𝟖
254974	𝟑
255015	➀
255063	⒏
255189	᱙
255272	𝟕
255276	⒎
255389	⑹
255472	੪
255839	𝟘
255854	੯
255879	➎
